Topic,Words
Topic 0,"vital, sign, pressure, signs, blood, rate, heart, ecg, monitoring, cardiac"
Topic 1,"exercise, activity, duration, muscle, movement, motion, stretching, repetitions, exercises, intensity"
Topic 2,"food, meal, dietary, diet, foods, nutrition, planning, portion, nutritional, recipe"
Topic 3,"symptom, severity, symptoms, nausea, checker, severe, scale, mild, moderate, tracker"
Topic 4,"infant, developmental, infants, crying, pacifier, development, swaddling, parenting, feeding, child"
Topic 5,"reminder, message, task, schedule, appointment, reminders, turning, frequency, date, time"
Topic 6,"treatment, patient, intervention, medical, therapy, outcomes, verification, admission, surgery, outcome"
Topic 7,"applicable, parent, , , , , , , , "
Topic 8,"pain, affected, relief, management, acupressure, analgesic, scale, severely, mildly, moderately"
Topic 9,"family, members, support, relationship, member, roles, involvement, communication, child, partner"
Topic 10,"caregiver, care, plan, team, respite, caretaker, assignment, support, assistance, tasks"
Topic 11,"fetal, pregnancy, labor, gestational, heart, maternal, ab, history, decision, vaginal"
Topic 12,"safety, fall, precautions, hazard, hazards, precaution, environmental, risk, home, electrical"
Topic 13,"instruction, task, content, deadline, pages, date, title, frequency, ad, guide"
Topic 14,"oral, hygiene, dental, brushing, denture, toothbrush, teeth, flossing, fluoride, health"
Topic 15,"group, support, peer, connection, matching, network, meeting, social, forum, functionality"
Topic 16,"catheter, catheterization, insertion, flushing, tube, interpleural, tip, leakage, ambulation, flush"
Topic 17,"temperature, warming, cooling, heat, hypothermia, range, blanket, ice, cold, warm"
Topic 18,"emotion, expression, mood, emotional, prompt, reflection, feeling, intensity, identification, feelings"
Topic 19,"respiratory, ventilator, rate, secretion, cough, lung, sound, mode, pattern, breath"
Topic 20,"goal, setting, target, term, priority, statement, progress, criteria, short, objective"
Topic 21,"wound, dressing, incision, suture, bandage, sutures, ulcer, endotracheal, care, depth"
Topic 22,"referral, specialist, reason, service, consultation, information, counseling, group, contact, provider"
Topic 23,"consent, signature, contract, agreement, confidentiality, form, informed, digital, electronic, statement"
Topic 24,"activity, activities, schedule, reminders, habit, interests, planner, routine, spacing, rest"
Topic 25,"visit, visitation, follow, up, visitor, appointment, accommodation, schedule, provider, roommate"
Topic 26,"reinforcement, reward, reinforcer, rewards, badge, positive, message, praise, motivational, feedback"
Topic 27,"lab, test, result, culture, results, sensitivity, reference, range, testing, ventricular"
Topic 28,"effect, adverse, effects, medication, side, severity, alert, monitoring, dosage, allergen"
Topic 29,"medication, administration, dosage, value, label, route, bar, verify, stocking, prophylactic"
Topic 30,"intake, fluid, output, amount, oz, ml, tracker, unit, number, balance"
Topic 31,"reflection, prompt, onlyonce, everyhours, everydays, response, audio, rating, journal, datetime"
Topic 32,"medication, effects, side, medications, wledge, purpose, administration, dosage, interactions, drug"
Topic 33,"positioning, position, guide, multimedia, symbol, instructions, placement, repositioning, reminders, diagram"
Topic 34,"skin, inspection, condition, photo, integrity, breakdown, camera, areas, inspect, abrasion"
Topic 35,"breathing, coughing, inhaler, exercise, inhalation, audio, technique, guidance, deep, pattern"
Topic 36,"stimulation, sensory, stimulus, tactile, sensation, auditory, modulation, olfactory, response, gustatory"
Topic 37,"multimedia, onlyonce, everyhours, everydays, datetime, instruction, demonstration, deadline, daily, content"
Topic 38,"administration, medication, dosage, mixing, right, antibiotic, instructions, route, premedication, preparation"
Topic 39,"equipment, supply, stock, maintenance, quantity, functional, reorder, item, tank, check"
Topic 40,"onlyonce, everyhours, everydays, stril, script, datetime, daily, residual, deadline, hours"
Topic 41,"bowel, incontinence, episode, episodes, interval, rectal, movement, stool, sound, fecal"
Topic 42,"relaxation, technique, guided, meditation, progressive, breathing, audio, deep, muscle, techniques"
Topic 43,"bleeding, pt, hematocrit, blood, loss, effluent, coagulation, ptt, hematoma, range"
Topic 44,"emergency, disaster, contact, shelter, preparedness, phone, aid, police, module, first"
Topic 45,"resource, multimedia, file, attachments, pdf, resources, content, rich, title, informational"
Topic 46,"hygiene, washing, hand, bathing, bath, sponge, cleaning, soap, feet, drying"
Topic 47,"weight, kg, unit, lbs, trend, measurement, biweekly, range, weigh, pounds"
Topic 48,"breastfeeding, breast, milk, lactation, dairy, pumping, everyxfeedings, atwill, everyfeeding, consultant"
Topic 49,"module, quiz, education, content, rich, educational, learning, multimedia, title, pages"
Topic 50,"suctioning, airway, suction, tracheal, et, subglottic, blowing, thrust, jaw, tilt"
Topic 51,"spiritual, ritual, prayer, forgiveness, religious, meditation, reflection, clergy, support, tradition"
Topic 52,"clothing, dressing, change, assistance, dress, pants, garment, restrictive, attire, shirts"
Topic 53,"sleep, bedtime, routine, quality, wake, wakefulness, disturbances, techniques, beverages, relaxation"
Topic 54,"transfer, wheelchair, assistive, device, assistance, walker, cane, mobility, dangle, other"
Topic 55,"risk, factor, factors, assessment, questions, high, injury, low, level, scoring"
Topic 56,"sexual, sex, dysfunction, practices, sexuality, std, health, puberty, healthy, resources"
Topic 57,"drainage, csf, bag, characteristics, urinary, apparatus, amount, tubing, color, pratt"
Topic 58,"diary, food, intake, caloric, nutrient, nutrition, dietary, portion, meal, calories"
Topic 59,"ical, neuro, registry, consciousness, physio, assessment, status, delirium, the, function"
Topic 60,"coping, strategy, mechanisms, mechanism, skills, strategies, resourcefulness, situation, effectiveness, stressor"
Topic 61,"education, educational, content, quiz, multi, multimedia, title, rich, faqs, format"
Topic 62,"literature, patient, reading, categorical, rich, beginner, customization, object, instructional, keys"
Topic 63,"resource, filter, directory, search, filtering, categories, finder, resources, contact, explorer"
Topic 64,"decision, evaluation, cons, pros, criteria, support, analysis, weighting, data, approaches"
Topic 65,"message, motivational, trigger, reassurance, encouragement, personalization, audio, onlyonce, encouraging, everyhours"
Topic 66,"communication, assertiveness, scenarios, nverbal, role, playing, confrontation, skills, feedback, listening"
Topic 67,"muscle, checker, symptoms, symptom, reflexes, hypotension, tachycardia, ecg, severity, weakness"
Topic 68,"instruction, title, content, tip, reason, tips, stacking, multimedia, text, book"
Topic 69,"task, specifies, tification, value, tasks, days, date, deadline, only, content"
Topic 70,"lens, eye, lubricant, corneal, lenses, patching, step, application, contact, reflex"
Topic 71,"behavior, behavioral, wandering, behaviors, observation, identification, habitual, period, aggressive, rating"
Topic 72,"electrolyte, potassium, imbalance, electrolytes, phosphate, acid, sodium, range, monitor, calcium"
Topic 73,"procedure, explanation, step, steps, personnel, aids, visual, entries, faqs, title"
Topic 74,"tutorial, feedback, answers, multimedia, pages, faq, guide, interactive, correct, demonstration"
Topic 75,"oxygen, delivery, therapy, flow, oximetry, saturation, pulse, co, device, rate"
Topic 76,"book, page, pages, section, texts, multimedia, guide, tips, multi, list"
Topic 77,"allergy, allergic, reaction, allergies, allergen, anaphylaxis, answers, latex, anaphylactic, patients"
